56.28,16.60944366455078,0.822742474916388,0.775023832221163,0.5686274509803921,0.5926544240400667,0.3349019607843137,0.4623115577889447,0.19961612284069097,0.6446096654275093,0.8730350665054414,0.7370727432077125,0.492,0.813,0.029,0.71,0.854,0.092,0.208,0.867,0.722,0.841
54.42,23.233601093292236,0.7746478873239436,0.7338308457711443,0.5612244897959183,0.7539936102236422,0.30505478967833155,0.25120772946859904,0.19967532467532467,0.6087837837837838,0.7319502074688796,0.7438725490196079,0.55,0.885,0.055,0.472,0.863,0.104,0.123,0.901,0.882,0.607
54.68,20.5184223651886,0.5805243445692884,0.7909663865546218,0.361784140969163,0.5385169186465083,0.391025641025641,0.4225941422594142,0.20020746887966806,0.7014051522248244,0.8331515812431843,0.5908814589665653,0.62,0.753,0.657,0.748,0.061,0.101,0.193,0.599,0.764,0.972
58.2,15.092529535293579,0.7035294117647058,0.8147295742232451,0.568,0.5611510791366906,0.41000575043128235,0.5306122448979592,0.20100502512562815,0.6692111959287532,0.8203285420944558,0.7008481110254433,0.598,0.708,0.284,0.702,0.713,0.078,0.24,0.789,0.799,0.909
47.65,27.015254259109497,0.8333333333333334,0.7295546558704453,1.0,0.7142857142857143,0.38333333333333336,0.35064935064935066,0.18544078361531613,0.7015503875968992,0.9013062409288825,0.7129934210526315,0.17,0.901,0.001,0.49,0.023,0.135,0.833,0.724,0.621,0.867
50.8,54.86412477493286,0.5669687814702921,0.7977422389463782,0.2788815305371597,0.7417355371900827,0.21338155515370705,0.2852852852852853,0.18532818532818532,0.6775067750677507,0.7313585291113381,0.7341389728096677,0.563,0.848,0.758,0.359,0.118,0.095,0.144,0.75,0.716,0.729
52.77,29.29074501991272,0.7727272727272727,0.6134510869565217,0.467687074829932,0.3569971440228478,0.47096774193548385,0.34841628959276016,0.1807081807081807,0.6478227654698243,0.8908122503328895,0.7398373983739838,0.221,0.903,0.275,0.875,0.365,0.154,0.148,0.848,0.669,0.819
48.64,45.545631647109985,0.6675824175824175,0.7590673575129534,0.223149693934335,0.7785588752196837,0.5,0.3219448094612352,0.45454545454545453,0.6077762619372442,0.9082969432314411,0.7808441558441559,0.243,0.879,0.802,0.443,0.001,0.49,0.01,0.891,0.624,0.481
50.54,48.63879108428955,0.555367709213863,0.7540563620836892,nan,0.7904040404040404,0.3399523431294678,0.27253928866832094,0.06451612903225806,0.7089820359281437,0.7724014336917563,0.6927710843373494,0.657,0.883,0.0,0.313,0.856,0.659,0.002,0.592,0.862,0.23
57.89,41.95342755317688,0.5656028368794326,0.7848101265822784,0.32010135135135137,0.6732101616628176,nan,0.3889409559512652,0.37037037037037035,0.6432432432432432,0.8925233644859814,0.7148407148407149,0.638,0.868,0.758,0.583,0.0,0.415,0.01,0.833,0.764,0.92
58.43,35.27944779396057,0.6864501679731243,0.8223684210526315,1.0,0.6088264794383149,0.3364485981308411,0.4154209284028324,0.22727272727272727,0.6783103168155971,0.731063829787234,0.8392664509169363,0.613,0.75,0.004,0.607,0.864,0.528,0.005,0.835,0.859,0.778
57.62,41.79930067062378,0.7682737169517885,0.7487520798668885,0.2884761182714177,0.6846560846560846,0.5,0.38384512683578104,0.2857142857142857,0.6860179885527392,0.8303030303030303,0.8517200474495848,0.494,0.9,0.761,0.647,0.002,0.575,0.004,0.839,0.822,0.718
57.01,48.01894426345825,0.8347578347578347,0.7910295616717635,1.0,0.527046783625731,0.3242733106832767,0.44015080113100846,0.23529411764705882,0.6910499139414802,0.7069243156199678,0.7771975630983464,0.293,0.776,0.003,0.721,0.859,0.467,0.008,0.803,0.878,0.893
57.6,22.840874433517456,0.42185592185592186,0.8138862102217936,0.4831013916500994,0.6883963494132985,0.47619047619047616,0.35854922279792745,0.21951219512195122,0.7601683029453016,0.7123064384678076,0.8099260823653643,0.691,0.844,0.243,0.528,0.57,0.692,0.009,0.542,0.874,0.767
