63.41,12.677312850952148,0.6322992700729927,0.7367149758454107,0.31053351573187415,0.9186991869918699,0.5011389521640092,0.7533783783783784,nan,0.8711063372717508,0.8791878172588833,0.8578066914498141,0.693,0.915,0.908,0.113,0.22,0.892,0.0,0.811,0.866,0.923
63.14,11.700753450393677,0.6465284039675383,0.6992592592592592,0.3935860058309038,0.8421052631578947,0.5275167785234899,0.6904176904176904,0.3872053872053872,0.9341500765696784,0.9577080491132333,0.6151930261519303,0.717,0.944,0.81,0.192,0.393,0.843,0.115,0.61,0.702,0.988
61.65,11.5079745054245,0.4543610547667343,0.7427385892116183,0.75,1.0,0.3487926408585665,0.7022900763358778,nan,0.9021329987452948,0.9091880341880342,0.8305676855895197,0.896,0.895,0.009,0.014,0.91,0.92,0.0,0.719,0.851,0.951
64.14,10.795864582061768,0.38658940397350994,0.8902439024390244,0.4078731547293603,0.9038461538461539,0.8571428571428571,0.7109077040427155,0.46706586826347307,0.8635875402792696,0.8786952089704383,0.9112903225806451,0.934,0.876,0.746,0.188,0.012,0.932,0.156,0.804,0.862,0.904
67.65,10.485933780670166,0.48715144887916895,0.8938053097345132,0.38728070175438595,0.8500986193293886,0.8043478260869565,0.7298355520751761,nan,0.8428428428428428,0.8786359077231695,0.9373626373626374,0.891,0.909,0.883,0.431,0.148,0.932,0.0,0.842,0.876,0.853
66.1,10.927338004112244,0.76033934252386,0.974910394265233,0.3544351781652767,0.5912208504801097,0.7604790419161677,0.8948717948717949,nan,0.6041666666666666,0.9275862068965517,0.9807407407407407,0.717,0.816,0.935,0.862,0.127,0.698,0.0,0.986,0.807,0.662
66.16,10.626847386360168,0.7716794731064764,0.9921976592977894,0.32878581173260574,0.5626191989828353,nan,0.913730255164034,nan,0.7677806341045416,0.9770580296896086,0.8570110701107011,0.703,0.763,0.964,0.885,0.0,0.752,0.0,0.896,0.724,0.929
70.1,9.971970856189728,0.7768052516411379,0.9972067039106145,0.49409158050221563,0.5694444444444444,0.4502680166765932,0.7795883361921098,nan,0.8333333333333334,0.9891808346213292,0.9087221095334685,0.71,0.714,0.669,0.861,0.756,0.909,0.0,0.855,0.64,0.896
72.3,9.25446355342865,0.6567656765676567,0.976457399103139,0.46258503401360546,0.734020618556701,0.5162827640984908,0.7269890795631825,nan,0.8933782267115601,0.9576783555018138,0.8885714285714286,0.796,0.871,0.748,0.712,0.65,0.932,0.0,0.796,0.792,0.933
64.43,9.73517394065857,0.7217741935483871,0.9808988764044944,0.8,0.8330849478390462,0.28797373918233365,0.7552631578947369,0.3492063492063492,0.7260061919504643,0.98,0.9606396063960639,0.716,0.873,0.02,0.559,0.965,0.861,0.044,0.938,0.686,0.781
